province;red;green;blue;x;x
838;203;197;69;;Leviathan Sound
839;193;84;79;;Howling Point
840;198;160;72;;Howling Bay
841;247;183;207;;Howling Hills
842;240;90;26;;Eastern Steel Road
843;200;164;55;;Northern Great Sand Sea
844;162;164;91;;Great Sand Road
845;152;209;46;;Southern Great Sand Sea
846;177;138;95;;North Trader Road
847;200;223;32;;Trader Town
848;247;217;9;;South Trader Road
849;228;106;65;;The Shrinking Sea
850;252;247;18;;Affazhat
851;210;133;62;;Akkovarat
852;245;109;10;;Qemmosor
853;220;248;22;;Ithkoil
854;185;151;87;;Drekat
855;251;179;204;;The Bleeding Shore
856;214;163;105;;Chomokh
857;253;182;17;;Feshith
858;245;72;48;;Halashir
859;206;240;15;;Kazga
860;108;169;41;;Athzalar
861;254;175;235;;Melikh
862;90;208;51;;Lanqoyi
863;190;211;44;;Moskat
864;226;128;29;;Nesolat
865;225;88;30;;Yothnhare
866;232;201;23;;Zanisshi
867;109;219;36;;Ramasar
868;247;151;9;;Qeso
869;191;64;86;;Oholat
870;209;62;46;;Hrazeffer
871;193;247;9;;Fatilat
872;205;196;50;;Veltor
873;232;98;34;;Athniqar
874;197;123;69;;Kolverikh
875;168;69;36;;Qosarven
876;230;46;36;;Chafaan
877;70;199;53;Ruins of Ka'Din
878;199;187;53;Bloody Wash
879;186;145;58;Ji'ha Oasis
880;8;250;250;;Frozen Lakes
881;9;200;200;;Long Lake
882;10;200;250;;Torrhen Lake
883;11;220;250;;Rills Lakes
884;12;250;250;;Gods Eye
885;13;200;200;;Red Lake
886;17;200;200;Sea
887;18;200;250;Sea
888;19;220;250;Sea
889;20;250;250;Sea
890;21;200;200;Sea
891;22;200;250;Sea
892;23;220;250;Sea
893;24;250;250;Sea
894;25;200;200;Sea
895;26;200;250;Sea
896;27;220;250;Sea
897;28;250;250;Sea
898;29;200;200;Sea
899;30;200;250;Sea
900;31;220;250;Sea
901;32;250;250;Sea
902;33;200;200;Sea
903;34;200;250;Sea
904;35;220;250;Sea
905;36;250;250;Sea
906;37;200;200;Sea
907;38;200;250;Sea
908;39;220;250;Sea
909;40;250;250;Sea
910;41;200;200;Sea
911;42;200;250;Sea
912;43;220;250;Sea
913;44;250;250;Sea
914;45;200;200;Sea
915;46;200;250;Sea
916;47;220;250;Sea
917;48;250;250;Sea
918;49;200;200;Sea
919;50;200;250;Sea
920;51;220;250;Sea
921;52;250;250;Sea
922;53;200;200;Sea
923;54;200;250;Sea
924;55;220;250;Sea
925;56;250;250;Sea
926;57;200;200;Sea
927;59;220;250;Sea
928;60;250;250;Sea
929;61;200;200;Sea
930;63;220;250;Sea
931;64;250;250;Sea
932;65;200;200;Sea
933;66;200;250;Sea
934;67;220;250;Sea
935;68;250;250;Sea
936;69;200;200;Sea
937;71;220;250;Sea
938;72;250;250;Sea
939;73;200;200;Sea
940;74;200;250;Sea
941;75;220;250;Sea
942;76;250;250;Sea
943;77;200;200;Sea
944;78;200;250;Sea
945;80;250;250;Sea
946;81;200;200;Sea
947;82;200;250;Sea
948;83;220;250;Sea
949;84;250;250;Sea
950;85;200;200;Sea
951;86;200;250;Sea
952;87;220;250;Sea
953;88;250;250;Sea
954;89;200;200;Sea
955;90;200;250;Sea
956;91;220;250;Sea
957;92;250;250;Sea
958;93;200;200;Sea
959;94;200;250;Sea
960;1;200;200;Sea
961;2;200;250;Sea
962;3;220;250;Sea
963;95;220;250;Sea
964;96;250;250;Sea
965;97;200;200;Sea
966;98;200;250;Sea
967;99;220;250;Sea
968;100;250;250;Sea
969;101;200;200;Sea
970;102;200;250;Sea
971;103;220;250;Sea
972;104;250;250;Sea
973;105;200;200;Sea
974;106;200;250;Sea
975;107;220;250;Sea
976;108;250;250;Sea
977;109;200;200;Sea
978;110;200;250;Sea
979;111;220;250;Sea
980;112;250;250;Sea
981;113;200;200;Sea
982;114;200;250;Sea
983;115;220;250;Sea
984;116;250;250;Sea
985;117;200;200;Sea
986;118;200;250;Sea
987;119;220;250;Sea
988;120;250;250;Sea
989;121;200;200;Sea
990;122;200;250;Sea
991;123;220;250;Sea
992;124;250;250;Sea
993;125;200;200;Sea
994;126;200;250;Sea
995;127;220;250;Sea
996;128;250;250;Sea
997;129;200;200;Sea
998;130;200;250;Sea
999;131;220;250;Sea
1000;132;250;250;Sea
1001;133;200;200;Sea
1002;134;200;250;Sea
1003;135;220;250;Sea
1004;136;250;250;Sea
1005;137;200;200;Sea
1006;138;200;250;Jungle of Lizards
1007;139;220;250;Sea
1008;140;250;250;Sea
1009;141;200;200;Sea
1010;142;200;250;Sea
1011;143;220;250;Sea
1012;144;250;250;Sea
1013;145;200;200;Sea
1014;146;200;250;Sea
1015;147;220;250;Sea
1016;148;250;250;Sea
1017;149;200;200;Sea
1018;150;200;250;Sea
1019;151;220;250;Sea
1020;152;250;250;Sea
1021;153;200;200;Sea
1022;154;200;250;Sea
1023;155;220;250;Sea
1024;156;250;250;Sea
1025;157;200;200;Sea
1026;158;200;250;Sea
1027;159;220;250;Sea
1028;160;250;250;Sea
1029;161;200;200;Sea
1030;162;200;250;Sea
1031;163;220;250;Sea
1032;164;250;250;Sea
1033;165;200;200;Sea
1034;166;200;250;Sea
1035;167;220;250;Sea
1036;168;250;250;Sea
1037;169;200;200;Sea
1038;170;200;250;Sea
1039;171;220;250;Sea
1040;172;250;250;Sea
1041;173;200;200;Sea
1042;174;200;250;Sea
1043;175;220;250;Sea
1044;176;250;250;Sea
1045;177;200;200;Sea
1046;178;200;250;Sea
1047;179;220;250;Sea
1048;180;250;250;Sea
1049;181;200;200;Sea
1050;182;200;250;Sea
1051;183;220;250;Sea
1052;184;250;250;Sea
1053;185;200;200;Sea
1054;186;200;250;Sea
1055;187;220;250;Sea
1056;188;250;250;Sea
1057;189;200;200;Sea
1058;190;200;250;Sea
1059;191;220;250;Sea
1060;192;250;250;Sea
1061;193;200;200;Sea
1062;194;200;250;Sea
1063;195;220;250;Sea
1064;196;250;250;Sea
1065;197;200;200;Sea
1066;198;200;250;Sea
1067;199;220;250;Sea
1068;200;250;250;Sea
1069;201;200;200;Sea
1070;202;200;250;Sea
1071;203;220;250;Sea
1072;204;250;250;Sea
1073;205;200;200;Sea
1074;206;200;250;Sea
1075;207;220;250;Sea
1076;208;250;250;Sea
1077;209;200;200;;Womb of the World
1078;210;200;250;Sea
1079;211;220;250;;Dagger Lake
1080;212;250;250;;Darkwater
1081;213;200;200;;Noyne
1082;4;250;250;Unused
1083;0;223;248;Unused
1084;20;223;248;;Upper Mander
1085;1;248;183;;Blackwater Rush
1086;2;183;248;;Upper Blackwater
1087;3;248;183;;God's River
1088;4;183;248;;The Trident
1089;5;248;183;;Blue Fork
1090;6;183;248;;Upper Blue Fork
1091;7;248;183;;Green Fork
1092;8;173;255;;Upper Green Fork
1093;9;248;183;;Red Fork
1094;10;173;255;;Upper Red Fork
1095;18;180;214;Unused
1096;151;236;227;Unused
1097;5;226;204;Unused
1098;149;191;238;Unused
1099;60;172;169;Unused
1100;136;162;251;Unused
1101;154;186;233;Unused
1102;133;226;254;Unused
1103;91;174;164;Unused
1104;148;175;239;Unused
1105;138;224;249;Unused
1106;151;189;236;Unused
1107;155;227;232;Unused
1108;148;166;239;Unused
1109;152;208;235;Unused
1110;157;157;230;Unused
1111;165;222;215;Unused
1112;143;210;243;Unused
1113;1;231;231;Unused
1114;77;137;155;Unused
1115;174;213;210;Unused
1116;145;184;242;Unused
1117;152;226;235;Unused
1118;174;182;213;Unused
1119;47;113;221;Unused
1120;139;239;248;Unused
1121;50;205;218;Unused
1122;155;226;232;Unused
1123;88;180;177;Unused
1124;79;181;189;Unused
1125;150;206;237;Unused
1126;167;191;220;Unused
1127;165;219;222;Unused
1128;171;209;216;Unused
1129;174;213;205;Unused
1130;196;98;64;;Gioa
1131;68;100;128;;Stari
1132;197;102;192;;Nioua
1133;69;104;255;;Soim
1134;197;106;0;;Moran
1135;69;108;64;;Foit
1136;197;110;128;;Hiao
1137;69;112;192;;Yuoe
1138;197;114;255;;Vei
1139;70;116;0;;Icy Plains
1140;198;118;64;;Frozen Shoal
1141;70;120;128;;Frozen Ruins
1142;198;122;192;;Redbeard Forest 
1143;70;124;255;x;Jungle of Faros
1144;198;126;0;;Trading Ports
1145;70;128;64;;Port of Marahai
1146;199;130;128;;West Marahai
1147;71;132;192;;Guild of the Thirteen
1148;199;134;255;;Guild of the Tourmaline Brotherhood
1149;71;136;0;;Ancient Guild of the Spicers
1150;199;138;64;;House of the Undying
1151;71;140;128;;West Qal
1152;213;74;79;;Jade Hills
1153;233;106;64;;Eastern Shore of Sielekar
1154;106;108;128;;Western Shore of Sielekar
1155;234;110;192;Unused
1156;106;112;255;Unused
1157;234;114;0;Unused
1158;106;116;64;Unused
1159;187;197;234;Rhoyne
1160;142;198;205;Dagger Lake
1161;235;122;255;;Sothoryos Unknown
1162;107;124;0;;Sothoryos Unknown
1163;235;126;64;;Sothoryos Unknown
1164;107;128;128;;Sothoryos Unknown
1165;235;130;192;;Sothoryos Unknown
1166;107;132;255;;Sothoryos Unknown
1167;235;134;0;;Sothoryos Unknown
1168;108;136;64;;Sothoryos Unknown
1169;236;138;128;;Sothoryos Unknown
1170;108;140;192;;Sothoryos Unknown
1171;236;142;255;;Sothoryos Unknown
1172;108;144;0;;Sothoryos Unknown
1173;236;146;64;;Sothoryos Unknown
1174;108;148;128;;Sothoryos Unknown
1175;237;150;192;;Sothoryos Unknown
1176;109;152;255;;Sothoryos Unknown
1177;237;154;0;;Unused
1178;109;156;64;;Unused
1179;237;158;128;;Unused
1180;109;32;192;;Unused
1181;237;34;255;;Unused
1182;110;36;0;;Unused
1183;238;38;64;;Unused
1184;110;40;128;;Sothoryos Unknown
1185;238;42;192;;Sothoryos Unknown
1186;110;44;255;;Sothoryos Unknown
1187;238;46;0;;Sothoryos Unknown
1188;110;48;64;;Sothoryos Unknown
1189;239;50;128;;Sothoryos Unknown
1190;111;52;192;;Sothoryos Unknown
1191;239;54;255;;Sothoryos Unknown
1192;111;56;0;;Sothoryos Unknown
1193;239;58;64;;Sothoryos Unknown
1194;111;60;128;;Sothoryos Unknown
1195;239;62;192;;Sothoryos Unknown
1196;112;64;255;;Sothoryos Unknown
1197;240;66;0;;Sothoryos Unknown
1198;112;68;64;;Sothoryos Unknown
1199;240;70;128;;Sothoryos Unknown
1200;112;72;192;;Sothoryos Unknown
1201;240;74;255;;Sothoryos Unknown
1202;112;76;0;;Sothoryos Unknown
1203;241;78;64;;Sothoryos Unknown
1204;113;80;128;;Sothoryos Unknown
1205;241;82;192;;Sothoryos Unknown
1206;113;84;255;;Sothoryos Unknown
1207;241;86;0;;Sothoryos Unknown
1208;113;88;64;;Sothoryos Unknown
1209;241;90;128;;Sothoryos Unknown
1210;114;92;192;;Sothoryos Unknown
1211;242;94;255;;Sothoryos Unknown
1212;114;96;0;;Sothoryos Unknown
1213;242;98;64;;Sothoryos Unknown
1214;114;100;128;;Sothoryos Unknown
1215;242;102;192;;Sothoryos Unknown
1216;114;104;255;;Sothoryos Unknown
1217;243;106;0;;Sothoryos Unknown
1218;115;108;64;;Sothoryos Unknown
1219;243;110;128;;Sothoryos Unknown
1220;115;112;192;;Sothoryos Unknown
1221;243;114;255;;Sothoryos Unknown
1222;115;116;0;;Mantarys 1
1223;243;118;64;;Mantarys 2
1224;116;120;128;;Mantarys 3
1225;244;122;192;;Tolos 1
1226;116;124;255;;Tolos 2
1227;244;126;0;;Tolos 3
1228;116;128;64;;Meereen 1
1229;244;130;128;;Meereen 2
1230;116;132;192;;Meereen 3
1231;245;134;255;;Meereen 4
1232;117;136;0;;Yunkai 1
1233;245;138;64;;Yunkai 2
1234;117;140;128;;Yunkai 3
1235;245;142;192;;Yunkai 4
1236;117;144;255;;Astapor 1
1237;245;146;0;;Astapor 2
1238;118;148;64;;Astapor 3
1239;246;150;128;;Astapor 4
1240;118;152;192;;Ghis 1
1241;246;154;255;;Ghis 2
1242;118;156;0;;Qarth 1
1243;246;158;64;;Qarth 2
1244;118;32;128;;Qarth 3
1245;247;34;192;;Qarth 4
1246;119;36;255;;Faros 1
1247;128;34;79;;Faros 2
1248;0;36;126;;Faros 3
1249;128;38;173;;Faros 4
1250;0;40;32;;Faros 5
1251;128;42;79;;Vahar 1
1252;0;44;126;;Vahar 2
1253;129;46;173;;Vahar 3
1254;1;48;32;;Vahar 4
1255;129;50;79;;Vahar 5
1256;1;52;126;;Vahar 6
1257;129;54;173;;Moraq 1
1258;1;56;32;;Moraq 2
1259;129;58;79;;Moraq 3
1260;2;60;126;;Moraq 4
1261;130;62;173;;Moraq 5
1262;2;64;32;;Moraq 6
1263;130;66;79;;Zabhad 1
1264;2;68;126;;Zabhad 2
1265;130;70;173;;Asshai 1
1266;2;72;32;;Asshai 2
1267;131;74;79;;Leng 1
1268;3;76;126;;Leng 2
1269;131;78;173;;Leng 3
1270;3;80;32;;Leng 4
1271;131;82;79;;Leng 5
1272;3;84;126;;Leng 6
1273;131;86;173;;Leng 7
1274;4;88;32;;Leng 8
1275;132;90;79;;Leng 9
1276;4;92;126;;Asabhad 1
1277;132;94;173;;Asabhad 2
1278;4;96;32;;Asabhad 3
1279;132;98;79;;Asabhad 4
1280;4;100;126;;Asabhad 5
1281;133;102;173;;Bayasabhad 1
1282;5;104;32;;Bayasabhad 2
1283;133;106;79;;Bayasabhad 3
1284;5;108;126;;Bayasabhad 4
1285;133;110;173;;Bayasabhad 5
1286;5;112;32;;Samyriana 1
1287;133;114;79;;Samyriana 2
1288;6;116;126;;Samyriana 3
1289;134;118;173;;Samyriana 4
1290;6;120;32;;Samyriana 5
1291;134;122;79;;Kayakayanaya 1
1292;6;124;126;;Kayakayanaya 2
1293;134;126;173;;Kayakayanaya 3
1294;6;128;32;;Kayakayanaya 4
1295;135;130;79;;Kayakayanaya 5
1296;7;132;126;;Trader Town 1
1297;135;134;173;;Trader Town 2
1298;7;136;32;;Trader Town 3
1299;135;138;79;;Trader Town 4
1300;7;140;126;;Naath 1
1301;135;142;173;;Naath 2
1302;8;144;32;;Traders Pass
1303;136;146;79;;Sothoryos Unknown
1304;8;148;126;;Sothoryos Unknown
1305;136;150;173;;Sothoryos Unknown
1306;8;152;32;;Sothoryos Unknown
1307;136;154;79;;Sothoryos Unknown
1308;8;156;126;;Sothoryos Unknown
1309;137;158;173;;Sothoryos Unknown
1310;9;32;32;;Sothoryos Unknown
1311;137;34;79;;Sothoryos Unknown
1312;9;36;126;;Sothoryos Unknown
1313;137;38;173;;Sothoryos Unknown
1314;9;40;32;;Sothoryos Unknown
1315;137;42;79;;Sothoryos Unknown
1316;10;44;126;;Sothoryos Unknown
1317;138;46;173;;Sothoryos Unknown
1318;10;48;32;;Sothoryos Unknown
1319;138;50;79;;Sothoryos Unknown
1320;10;52;126;;Sothoryos Unknown
1321;138;54;173;;Shadowlands Unknown
1322;10;56;32;;Shadowlands Unknown
1323;139;58;79;;Shadowlands Unknown
1324;11;60;126;;Shadowlands Unknown
1325;139;62;173;;Shadowlands Unknown
1326;11;64;32;;Shadowlands Unknown
1327;139;66;79;;Shadowlands Unknown
1328;11;68;126;;Shadowlands Unknown
1329;139;70;173;;Shadowlands Unknown
1330;12;72;32;;Shadowlands Unknown
1331;140;74;79;;Shadowlands Unknown
1332;12;76;126;;Shadowlands Unknown
1333;140;78;173;;Shadowlands Unknown
1334;12;80;32;;Shadowlands Unknown
1335;140;82;79;;Shadowlands Unknown
1336;12;84;126;;Shadowlands Unknown
1337;141;86;173;;Shadowlands Unknown
1338;13;88;32;;Shadowlands Unknown
1339;141;90;79;;Shadowlands Unknown
1340;13;92;126;;Shadowlands Unknown
1341;141;94;173;;Shadowlands Unknown
1342;13;96;32;;Shadowlands Unknown
1343;141;98;79;;Shadowlands Unknown
1344;14;100;126;;Shadowlands Unknown
1345;142;102;173;;Shadowlands Unknown
1346;14;104;32;;Shadowlands Unknown
1347;142;106;79;;Shadowlands Unknown
1348;14;108;126;;Shadowlands Unknown
1349;142;110;173;;Shadowlands Unknown
1350;14;112;32;;Shadowlands Unknown
1351;143;114;79;;Shadowlands Unknown
1352;15;116;126;;Shadowlands Unknown
1353;143;118;173;;Shadowlands Unknown
1354;15;120;32;;Shadowlands Unknown
1355;143;122;79;;Shadowlands Unknown
1356;15;124;126;;Shadowlands Unknown
1357;143;126;173;;Shadowlands Unknown
1358;16;128;32;;Shadowlands Unknown
1359;144;130;79;;Shadowlands Unknown
1360;16;132;126;;Shadowlands Unknown
1361;144;134;173;;Shadowlands - Here be Dragons
1362;16;136;32;;Shadowlands - Here be Dragons
1363;144;138;79;;Shadowlands - Here be Dragons
1364;16;140;126;;Shadowlands - Here be Dragons
1365;145;142;173;;Shadowlands - Here be Dragons
1366;17;144;32;;Shadowlands - Here be Dragons
1367;145;146;79;;Shadowlands - Here be Dragons
1368;17;148;126;;Shadowlands - Here be Dragons
1369;145;150;173;;Shadowlands - Here be Dragons
1370;17;152;32;;Shadowlands - Here be Dragons
1371;145;154;79;;Shadowlands - Here be Dragons
1372;18;156;126;;Shadowlands - Here be Dragons
1373;146;158;173;;Shadowlands - Here be Dragons
1374;200;140;0;;Shadowlands - Here be Dragons
1375;146;34;79;;Shadowlands - Here be Dragons
1376;18;36;126;;Shadowlands - Here be Dragons
1377;146;38;173;;Shadowlands - Here be Dragons
1378;18;40;32;;Shadowlands - Here be Dragons
1379;147;42;79;;Shadowlands - Here be Dragons
1380;19;44;126;;Shadowlands - Here be Dragons
1381;147;46;173;;Shadowlands - Here be Dragons
1382;19;48;32;;Shadowlands - Here be Dragons
1383;147;50;79;;Shadowlands - Here be Dragons
1384;19;52;126;;Shadowlands - Here be Dragons
1385;147;54;173;;Shadowlands - Here be Dragons
1386;20;56;32;;Shadowlands - Here be Dragons
1387;148;58;79;;Shadowlands - Here be Dragons
1388;20;60;126;;Shadowlands - Here be Dragons
1389;148;62;173;;Shadowlands - Here be Dragons
1390;20;68;126;;Shadowlands - Here be Dragons
1391;149;70;173;;Shadowlands - Here be Dragons
1392;21;72;32;;Shadowlands - Here be Dragons
1393;200;200;0;;Shadowlands - Here be Dragons
1394;21;76;126;;Shadowlands - Here be Dragons
1395;149;78;173;;Shadowlands - Here be Dragons
1396;21;80;32;;Thousand Islands
1397;149;82;79;;Thousand Islands
1398;22;84;126;;Thousand Islands
1399;150;86;173;;Thousand Islands
1400;22;88;32;;Thousand Islands
1401;150;90;79;;Thousand Islands
1402;22;92;126;;Thousand Islands
1403;150;94;173;;Thousand Islands
1404;22;96;32;;Thousand Islands
1405;151;98;79;;Thousand Islands
1406;23;100;126;;Thousand Islands
1407;151;102;173;;Thousand Islands
1408;23;104;32;;Thousand Islands
1409;151;106;79;;Thousand Islands
1410;23;108;126;;Thousand Islands
1411;151;110;173;;Thousand Islands
1412;24;112;32;;Thousand Islands
1413;152;114;79;;Thousand Islands
1414;24;116;126;;Thousand Islands
1415;152;118;173;;Thousand Islands
1416;24;120;32;;Thousand Islands
1417;152;122;79;;Thousand Islands
1418;24;124;126;Impassable Mountain
1419;117;202;202;Impassable Mountain
1420;118;202;252;Impassable Mountain
1421;119;222;252;Impassable Mountain
1422;120;252;252;Impassable Mountain
1423;121;212;202;Unused
1424;122;212;252;Unused
1425;123;222;252;Impassable Mountain
1426;124;242;252;Unused
1427;125;212;202;Unused
1428;126;212;252;Unused
1429;127;212;252;Unused
1430;128;252;252;Unused
1431;129;202;202;Unused
1432;130;202;252;Unused
1433;131;222;252;Unused
1434;132;252;252;Unused
1435;133;202;202;Unused
1436;134;202;252;Unused
1437;135;222;252;Unused
1438;136;252;252;Unused
1439;137;202;202;Unused
1440;138;202;252;Ulthos Sea
1441;139;222;252;Unused
1442;140;252;252;Unused
1443;141;202;202;Unused
1444;142;202;252;Unused
1445;143;222;252;Unused
1446;144;252;252;Unused
1447;145;202;202;Impassable Mountain
1448;146;202;252;Unused
1449;147;222;252;Unused
1450;148;252;252;Impassable Mountain
1451;149;202;202;Unused
1452;169;168;172;Central Sothoros #1
1453;1;171;45;Southern Sothoros #1
1454;43;174;173;South Sothoros Archipelago
1455;85;177;46;Southern Sothoros #2
1456;127;180;174;Southern Sothoros #3
1457;169;183;47;Southeast Sothoros Isle
1458;1;186;175;Southern Sothoros #4
1459;43;189;48;Southern Sothoros #5
1460;85;192;176;Southern Sothoros #6
1461;127;195;49;Southern Sothoros #7
1462;169;198;177;Southern Sothoros #8
1463;1;201;50;Southern Sothoros #9
1464;43;204;178;Southern Sothoros #10
1465;85;207;51;Southern Sothoros #11
1466;127;210;179;Southern Sothoros #12
1467;169;0;52;Southern Sothoros #13
1468;1;3;180;Southern Sothoros #14
1469;43;6;53;Western Sothoros Isle
1470;85;9;181;Eastern Essos #1
1471;127;12;54;Eastern Essos #2
1472;169;15;182;Eastern Essos #3
1473;1;18;55;Eastern Essos #4
1474;43;21;183;Eastern Essos #5
1475;85;24;56;Unused
1476;127;27;184;Eastern Essos #7
1477;169;30;57;Eastern Essos #8
1478;1;33;185;Eastern Essos 9
1479;43;36;58;Eastern Essos #10
1480;85;39;186;Eastern Essos #11
1481;127;42;59;Eastern Essos #12
1482;169;45;187;Saffron Archipelago #1
1483;1;48;60;Saffron Archipelago #2
1484;43;51;188;Saffron Archipelago #3
1485;85;54;61;Saffron Archipelago #4
1486;127;57;189;Saffron Archipelago #5
1487;169;60;62;Saffron Archipelago #6
1488;1;63;190;Saffron Archipelago #7
1489;43;66;63;Saffron Archipelago #8
1490;85;69;191;Saffron Archipelago #9
1491;127;72;64;Saffron Archipelago #10
1492;169;75;192;Saffron Archipelago #11
1493;1;78;65;Saffron Archipelago #12
1494;43;81;193;Saffron Archipelago #13
1495;85;84;66;Saffron Archipelago #14
1496;127;87;194;Saffron Archipelago #15
1497;169;90;67;Saffron Archipelago #16
1498;43;96;68;Ulthos #2
1499;85;99;196;Ulthos #3
1500;127;102;69;Ulthos #4
1501;169;105;197;Ulthos #5
1502;1;108;70;Ulthos #6
1503;43;111;198;Ulthos #7
1504;85;114;71;Eastern Ulthos Jungle
1505;127;117;199;Ulthos #8
1506;169;120;72;Ulthos #9
1507;1;123;200;Ulthos #10
1508;43;126;73;Ulthos #11
1509;85;129;201;Soutern Ulthos Isle
1510;127;132;74;Southern Ulthos Jungle
1511;169;135;202;Ulthos #12
1512;1;138;75;Northern Ulthos Isles
1513;43;141;203;Southwestern Ulthos Jungle
1514;85;144;76;Western Ulthos Jungle
1515;127;147;204;Western Ulthos Isle
1516;217;145;221;Unused
1517;215;105;200;Castamere
1518;215;105;180;Sunstone
1519;111;100;200;Unused
1520;111;150;200;Unused
1521;111;150;100;Unused
1522;119;100;200;Unused
1523;119;150;200;Unused
1524;119;150;100;Unused
1525;125;60;100;Unused
1526;125;60;200;Unused
1527;125;60;150;Unused
1528;51;213;253;Unused
1529;61;203;203;Impassable Mountain
1530;62;203;253;Unused
1531;74;203;253;Unused
1532;79;223;253;Impassable Mountain
1533;86;203;253;Unused
1534;88;253;253;Unused
1535;106;203;253;Unused
1536;111;213;252;Impassable Mountain
1537;112;250;252;Impassable Mountain
1538;113;201;202;Impassable Mountain
1539;114;212;252;Unused
1540;115;212;252;Unused
1541;24;123;126;Unused
1542;105;201;201;Unused
1543;107;221;251;Impassable Mountain
1544;110;201;251;Impassable Mountain
1545;14;202;252;Unused
1546;19;222;252;Unused
1547;20;252;252;Unused
1548;21;202;202;Unused
1549;29;202;202;Unused
1550;33;202;202;Unused
1551;35;222;252;Unused
1552;36;252;252;Unused
1553;37;202;202;Unused
1554;38;202;252;Unused
1555;56;252;252;Unused
1556;59;222;252;Unused
1557;62;202;252;Unused
1558;63;222;252;Unused
1559;66;202;252;Impassable Mountain
1560;71;222;252;Unused
1561;72;252;252;Unused
1562;74;202;252;Unused
1563;75;222;252;Unused
1564;76;252;252;Unused
1565;79;222;252;Blackhaven-Lonmouth Wasteland
1566;82;202;252;Unused
1567;86;202;252;Unused
1568;94;222;252;Unused
1569;101;212;202;Unused
1570;103;221;251;Unused
1571;50;202;252;Unused
1572;132;204;210;Unused
1573;232;224;210;Unused
1574;178;153;242;Unused
1575;141;184;86;Unused
1576;83;125;29;Greyguard
1577;125;99;29;Unused
1578;97;85;52;Unused
1579;145;84;47;Unused
1580;47;145;53;Nightfort
1581;54;99;57;Unused
1582;62;173;70;Unused
1583;62;173;159;Unused
1584;73;120;100;Woodswatch
1585;91;120;73;Unused
1586;161;174;83;Unused
1587;173;247;83;Unused
1588;173;83;173;Unused
1589;173;83;100;Greenguard
1590;65;83;130;The Wall
1591;134;211;58;Unused
1592;88;43;241;Unused
1593;50;215;250;Ocean # Far East
1594;50;245;225;Ocean # Far East
1595;50;210;250;Ocean # Far East
1596;50;250;225;Ocean # Far East
1597;50;205;250;Ocean # Far East
1598;50;240;220;Ocean # Far East
1599;94;202;252;Ocean # Far East
1600;95;222;252;Ocean # Far East
1601;96;252;252;Ocean # Far East
1602;97;202;202;Ocean # Far East
1603;98;202;252;Ocean # Far West
1604;99;222;252;Ocean # Far West
1605;100;252;252;Ocean # Far West
1606;101;202;202;Ocean # Far West
1607;102;202;252;Ocean # Far West
1608;103;222;252;Ocean # Far West
1609;104;252;252;Ocean # Far West
1610;105;202;202;Ocean # Far West
1611;106;202;252;Ocean # Far West
1612;107;222;252;Ocean # Far West
1613;108;252;252;Ocean # Far West
1614;109;202;202;Ocean # Far West
1615;110;202;252;Ocean # Far West
1616;111;222;252;Ocean # Far West
1617;112;252;252;Ocean # Far West
1618;113;202;202;Ocean # Far West
1619;114;202;252;Ocean # Far West
1620;115;222;252;Ocean # Far West
1621;116;252;252;Ocean # Far West
1622;117;212;202;Ocean # Far West
1623;118;212;252;Ocean # Far West
1624;119;212;252;Ocean # Far West
1625;120;242;252;Ocean # Shivering Sea
1626;121;202;202;Ocean # Shivering Sea
1627;122;202;252;Ocean # Shivering Sea
1628;123;212;252;Ocean # Shivering Sea
1629;124;252;252;Ocean # Shivering Sea
1630;125;202;202;Ocean # Far East
1631;126;202;252;Ocean # Far East
1632;127;222;252;Ocean # Far East
1633;0;253;253;Ocean # Far East
1634;1;203;203;Ocean # Far East
1635;2;203;253;Ocean # Far East
1636;3;223;253;Ocean # Far East
1637;4;253;253;Ocean # Far East
1638;5;203;203;Ocean # Far East
1639;6;203;253;Ocean # Far East
1640;7;223;253;Ocean # Far East
1641;8;253;253;Ocean # Far East
1642;9;203;203;Ocean # Far East
1643;10;203;253;Ocean # Far East
1644;11;223;253;Ocean # South
1645;12;253;253;Ocean # Far West
1646;13;203;203;Ocean # Far East
1647;14;203;253;Ocean # Far East
1648;15;223;253;Ocean # Far East
1649;16;253;253;Ocean # Far East
1650;17;203;203;Ocean # Far East
1651;18;203;253;Ocean # Far East
1652;19;223;253;Ocean # Far East
1653;20;253;253;Ocean # Far East
1654;21;203;203;Ocean # Far East
1655;22;180;253;Ocean # Far East
1656;23;223;253;Ocean # Narrow Sea
1657;24;253;253;Ocean # Shivering Sea
1658;25;203;203;Ocean # Westerosi East Sea
1659;26;203;253;West Smoking Sea
1660;27;223;253;East Smoking Sea
1661;28;253;253;Ocean 
1662;29;203;203;Ocean 
1663;30;203;253;Ocean 
1664;31;223;253;Ocean 
1665;32;253;253;Ocean 
1666;33;203;203;Ocean 
1667;34;203;253;Ocean 
1668;35;223;253;Ocean 
1669;36;253;253;Ocean 
1670;37;203;203;Ocean 
1671;38;203;253;Ocean 
1672;39;223;253;Ocean 
1673;40;253;253;Ocean 
1674;41;203;203;Ocean 
1675;42;203;253;Ocean 
1676;43;223;253;Ocean 
1677;44;253;253;Ocean 
1678;45;203;203;Ocean 
1679;46;203;253;Ocean 
1680;47;223;253;Ocean 
1681;48;253;253;Ocean 
1682;49;203;203;Ocean 
1683;50;203;253;Ocean 
